step,train_F1,train_mIoU,epoch,train_OA,val_mIoU,val_F1,val_OA
26174,,,74,,0.353072846742342,0.46139992918056744,0.6694287592821772
26174,0.5472035573788826,0.46417148776597134,74,0.7989865715660815,,,
26523,0.5454512650005446,0.4615989261779494,75,0.7956887493844017,,,
26872,0.5468479271500234,0.46364050264895207,76,0.7980097030158712,,,
27221,0.5482282581543169,0.46560718006037854,77,0.7998796916622827,,,
27570,0.5451674974457661,0.46119585590854584,78,0.7955991422549359,,,
27919,,,79,,0.38848526035692066,0.4905165603646764,0.7151611630279228
27919,0.5498660414616777,0.46802537978343706,79,0.8023637044737194,,,
28268,0.5499347859631654,0.4680146312559225,80,0.8022780322755304,,,
28617,0.5498202219598034,0.46792514790768003,81,0.8023311757084973,,,
28966,0.5525051284372492,0.4718211578308014,82,0.8063022864923777,,,
29315,0.5487577157590643,0.46638975596397153,83,0.8010613296639952,,,
29664,,,84,,0.20190217100039576,0.3066209161158088,0.4632535122408718
29664,0.5476208324968274,0.4646555230158977,84,0.798998026588243,,,
30013,0.549511358327431,0.4674310782199971,85,0.8020207314914822,,,
