train_F1,train_OA,step,epoch,train_mIoU,val_OA,val_mIoU,val_F1
0.6487771732006626,0.48014077347807343,8724,24,0.16004692449269117,,,
0.6490178479677092,0.4804044575950819,9073,25,0.16013481919836065,,,
0.6485363527754591,0.4798770237788771,9422,26,0.1599590079262924,,,
0.6493753695964186,0.4807963330287987,9771,27,0.16026544434293294,,,
0.6486582807143421,0.4800105491135386,10120,28,0.16000351637117957,,,
,,10469,29,,0.32797679334583796,0.10932559778194617,0.49394958554885704
0.6488218148501759,0.4801896759295531,10469,29,0.16006322530985106,,,
0.649221701965558,0.48062787424869036,10818,30,0.16020929141623017,,,
0.6486422524787636,0.47999299494789793,11167,31,0.15999766498263265,,,
0.6485862604527176,0.4799316756021668,11516,32,0.1599772252007223,,,
0.48388717472538145,0.47127309979545345,11865,33,0.15960955632468363,,,
,,12214,34,,0.6051971133392626,0.20173237111308787,0.754047099026091
0.6367105429032346,0.4670398788670755,12214,34,0.15567995962235853,,,
0.3196517349629168,0.46712078542627367,12563,35,0.1560697266707647,,,
0.32684141454219684,0.46758386125537243,12912,36,0.15824770099741345,,,
0.3315846532732118,0.4664675431128559,13261,37,0.1594156326867485,,,
0.3396353494093525,0.4670977442175747,13610,38,0.16193154654086916,,,
,,13959,39,,0.5946369737681767,0.2081885326377151,0.4038219916948538
0.3436678069862068,0.46685439057883005,13959,39,0.16309092867652222,,,
0.3523966719912889,0.46685393150351445,14308,40,0.1657475192678394,,,
0.3544189804246166,0.4676668883053142,14657,41,0.16652871951446682,,,
0.35436789676663116,0.4679176090098383,15006,42,0.16656330274734568,,,
0.35017948734647103,0.4668398750545643,15355,43,0.16506675893760236,,,
,,15704,44,,0.5963764757213017,0.2074808189059009,0.4005956917231342
0.34507457314465784,0.4674047563000872,15704,44,0.1636269430657211,,,
0.34397314903154885,0.4668027773969152,16053,45,0.16317513193800118,,,
0.3439302485296589,0.4667195317396803,16402,46,0.16314557497826565,,,
0.34445017447269044,0.4676901043998477,16751,47,0.1634948294450804,,,
0.34409513534588543,0.46747711531412284,17100,48,0.16334521821898906,,,
,,17449,49,,0.5970540566019483,0.20674894302543664,0.3979423537517368
0.3420531370280874,0.4673948315289778,17449,49,0.16271339934529575,,,
0.3421890654678442,0.4677301969774131,17798,50,0.16281898823481733,,,
0.342922487696587,0.46772217408975414,18147,51,0.1630398523437804,,,
0.34255812947720543,0.46744858706236564,18496,52,0.1628745919147184,,,
0.34279362594359725,0.46728902559908886,18845,53,0.1629153308005444,,,
,,19194,54,,0.5963844828086315,0.20701909752820924,0.39919451014700763
0.3431684553890417,0.4676255278054485,19194,54,0.16309514689278987,,,
0.3432757000298716,0.4674115768476338,19543,55,0.1630853591397608,,,
0.34251044772095807,0.46747857998298703,19892,56,0.1628690676299348,,,
0.33574304639219366,0.46768188476562494,20241,57,0.1608871930707598,,,
0.3345971357759923,0.46663403442732576,20590,58,0.16033967477437097,,,
,,20939,59,,0.6007345973855188,0.2048261918992602,0.3896854176054045
0.3317347873103546,0.4666831554860986,20939,59,0.15950210506252013,,,
0.331797510648194,0.46680570673464356,21288,60,0.15954495648253714,,,
0.33173835069618673,0.466687680657067,21637,61,0.15950402143921563,,,
0.3318830163661925,0.46702949502065044,21986,62,0.15961464926727756,,,
0.3320825395611268,0.4674274258763878,22335,63,0.15975226110084947,,,
,,22684,64,,0.6007407915474156,0.20482714227238266,0.389684414056345
0.3321862177460392,0.4676221612531339,22684,64,0.1598210708225337,,,
0.33212264442286593,0.46747433900149976,23033,65,0.15977289563560992,,,
0.33202546969446933,0.4673218166930627,23382,66,0.15971431890788376,,,
0.3318304469033998,0.46726690254102116,23731,67,0.1596464461560241,,,
0.33142856123629116,0.4668636376673307,24080,68,0.1594476128963552,,,
,,24429,69,,0.6020010768777063,0.2042166579044589,0.38697169187386077
0.3285978416010282,0.4665991884247962,24429,69,0.15856411450609223,,,
0.3302692295121196,0.4669061349251208,24778,70,0.1591152143685198,,,
0.33205251967236304,0.467456916000235,25127,71,0.15974970319310292,,,
0.33201251049401487,0.46729781361227385,25476,72,0.1597060717121573,,,
0.3322186354206004,0.46759599396014273,25825,73,0.15982554504370036,,,
,,26174,74,,0.6000926707050579,0.20556456194084052,0.39238246047128417
0.33351011865023045,0.46756604476097996,26174,74,0.1602010034476121,,,
