epoch,train_F1,train_OA,step,train_mIoU,val_OA,val_F1,val_mIoU
171,0.8578840553332387,0.8898524855474345,60027,0.7548156218874822,,,
172,0.8521628177893761,0.8864041522444147,60376,0.7465456194754186,,,
173,0.8536571054648956,0.886521194589172,60725,0.748522970245277,,,
174,,,61074,,0.8887279246113075,0.8227930870774847,0.7109312443083043
174,0.8552982251486844,0.887668270777836,61074,0.7509467984192778,,,
175,0.8607457097119663,0.8885343710126028,61423,0.7583509423195026,,,
176,0.8504412237235092,0.885265339411432,61772,0.7440752883971292,,,
177,0.8515692074197587,0.8874268846047298,62121,0.7460366966701014,,,
178,0.8383714594078485,0.8819195110681746,62470,0.7281204647359254,,,
179,,,62819,,0.8937890081122356,0.8400507184882332,0.7327000832594498
179,0.8582010768371252,0.8886432155838667,62819,0.75496894025864,,,
180,0.861883131791655,0.8890618704109956,63168,0.7599836908787437,,,
181,0.84596056866352,0.8857547355586272,63517,0.7385095069196882,,,
182,0.8557260813219889,0.8896204557664755,63866,0.7519362532341045,,,
183,0.8516360049718218,0.886331989976943,64215,0.7458874613460259,,,
184,,,64564,,0.8974659230449398,0.8517867909134056,0.7481886006038891
184,0.8498738141496728,0.8859186473070378,64564,0.7434980393138955,,,
185,0.8645882111924115,0.8920649881007676,64913,0.764272345999686,,,
186,0.8550422491995701,0.8868747263036688,65262,0.7503985399873119,,,
187,0.8519490193925238,0.8865726328852523,65611,0.7463099439716725,,,
188,0.8553797897785503,0.8872176774251767,65960,0.7509429324442395,,,
189,,,66309,,0.902002920018563,0.8621372342467369,0.7627399289836635
189,0.8559032045782681,0.8888351746479897,66309,0.7519784285640546,,,
190,0.8604002922692753,0.8890631164725665,66658,0.757999928810068,,,
191,0.8515161657556969,0.886300860298397,67007,0.7456908272686604,,,
192,0.8471736458503986,0.8846319029187745,67356,0.7397716664526071,,,
193,0.8509762156257481,0.8861051411888318,67705,0.7449791294289496,,,
194,,,68054,,0.8923963792253234,0.8397950866239948,0.7326174776761962
194,0.8509159215761689,0.8869445057516452,68054,0.7450756757971488,,,
195,0.8603999532923953,0.8891401755434051,68403,0.7580112490414971,,,
196,0.8623891278405935,0.8900733663564424,68752,0.7608773556389791,,,
197,0.8632068587942513,0.8915075176424828,69101,0.7622667902279234,,,
198,0.8519653461687496,0.8865978820276122,69450,0.746338713711613,,,
199,,,69799,,0.8975493176148656,0.8484904087765721,0.7442394064662494
199,0.8455478969179016,0.8853700523048552,69799,0.7378836830769879,,,
