train_mIoU,train_OA,epoch,step,train_F1,val_mIoU,val_F1,val_OA
,,54,19194,,0.12154347168340252,0.280702113438353,0.3444100559347922
0.4576142201341938,0.7922212660825012,54,19194,0.8139425874171216,,,
0.4585307603257797,0.7929654927513318,55,19543,0.8149150231214848,,,
0.45748358452225685,0.7919786775692826,56,19892,0.5425327944995318,,,
0.4624840048259764,0.796726849837426,57,20241,0.8190625706403807,,,
0.46094739083291864,0.7956665170226874,58,20590,0.8174597354919514,,,
,,59,20939,,0.4069636540545993,0.7546794461495445,0.7501967024094977
0.34487874388329487,0.7941662151697371,59,20939,0.8162784487775816,,,
0.4604889959968414,0.7947678880226986,60,21288,0.8169781096762706,,,
0.4607437566936953,0.7951797004415516,61,21637,0.8172378222619512,,,
0.46186455196628534,0.7962105212717137,62,21986,0.8184092602277119,,,
0.4657862816579715,0.8002894710333093,63,22335,0.5483198477534826,,,
,,64,22684,,0.44736721151549236,0.5335290918616137,0.7837849229869264
0.4639156934774786,0.7986658528062879,64,22684,0.8205402111873626,,,
0.46317587343185385,0.797600229695055,65,23033,0.5465217772188363,,,
0.4619297616063644,0.7962753383341353,66,23382,0.8184835993877986,,,
0.3476313322909388,0.7975925784397944,67,23731,0.820110120725425,,,
0.46494545763410694,0.7993687626967114,68,24080,0.8216046507464905,,,
,,69,24429,,0.1259458586751546,0.2921590640948985,0.3490207785426975
0.4683120750544523,0.802585394129712,69,24429,0.8251083693442278,,,
0.4639387939958997,0.7984152195446811,70,24778,0.820582239684518,,,
0.345809653391886,0.7957401002375648,71,25127,0.8175961656903419,,,
0.4645048801082621,0.7986021287803321,72,25476,0.8211627319098762,,,
0.46098848762409395,0.795413763270337,73,25825,0.8175106221651779,,,
,,74,26174,,0.19651850327479906,0.44980222023225547,0.45363866220606364
0.4640284735335469,0.7988366944058917,74,26174,0.8206706106529034,,,
0.4606671769108253,0.7947795835128827,75,26523,0.8171452960795791,,,
0.3476516535820986,0.797916620030444,76,26872,0.8201481865650546,,,
0.4656561887834121,0.7999440496493887,77,27221,0.8223607226110672,,,
0.46103432480110973,0.7954710165204153,78,27570,0.8175576540782041,,,
,,79,27919,,0.3283067748791185,0.659626458486124,0.6370935723333065
0.35139055976838507,0.8028415144343771,79,27919,0.8253254641747834,,,
0.4679674794302637,0.8022737694333139,80,28268,0.824756031279563,,,
0.4677068218962038,0.8020978561445087,81,28617,0.5496780454427911,,,
0.47175297139383116,0.80624404950948,82,28966,0.5524248016259397,,,
0.46676604418072937,0.801441225418047,83,29315,0.5490092339076296,,,
,,84,29664,,0.2565966483408288,0.5552165709433267,0.5407955056369886
0.4642245325416347,0.7986206448180626,84,29664,0.8208858896465645,,,
0.46747462573361315,0.8020923472407211,85,30013,0.8242374607725175,,,
0.4638430122907296,0.7982849514586876,86,30362,0.8204721066038371,,,
0.46729456221968,0.8019117120343838,87,30711,0.8240573585194606,,,
0.35065464387918127,0.8019008472519138,88,31060,0.5495494736928861,,,
,,89,31409,,0.37897931108577576,0.723588310866386,0.7006743780457136
0.4678619299301527,0.802171089587717,89,31409,0.8246387794964375,,,
0.34892166241515576,0.7996629425311156,90,31758,0.8219244867189499,,,
0.460401385294718,0.7950519244787002,91,32107,0.81688414553225,,,
0.4675494685385093,0.8019692931954019,92,32456,0.82433005764769,,,
0.46165182747053857,0.7960064295028204,93,32805,0.5454678234263604,,,
,,94,33154,,0.12995459812940996,0.20172898205594103,0.35586562959274387
0.46464919728489223,0.7989433091827653,94,33154,0.8213073412119698,,,
0.46730663982996967,0.8019084985071744,95,33503,0.5493887904763061,,,
0.47086248909249645,0.805365401216086,96,33852,0.5518263828446159,,,
0.4694139315479659,0.8039022407422434,97,34201,0.5508385542058015,,,
0.3490759505893346,0.7997223381326669,98,34550,0.5480994164343228,,,
,,99,34899,,0.4239667861338914,0.5170191526998408,0.7560322072246275
0.46718424733171265,0.8016160456703862,99,34899,0.823947820367608,,,
0.47456246879032893,0.809039271663458,100,35248,0.8315356753466954,,,
0.47415143957011646,0.8084468896204556,101,35597,0.5540723363256438,,,
0.4672032627577442,0.8016089409333585,102,35946,0.549322307567409,,,
0.4755887127307004,0.8098880582006065,103,36295,0.5550560857951127,,,
,,104,36644,,0.4158329451564174,0.7665110837690893,0.7485023725150823
0.3537369086663733,0.8062849509340302,104,36644,0.5523641657124222,,,
0.47308842066995055,0.8077153858960869,105,36993,0.8300236132049029,,,
0.4704160957370824,0.805148455338355,106,37342,0.5515417586059707,,,
0.4737712014440644,0.8080970960906719,107,37691,0.5538126401779865,,,
0.47378827502727877,0.8081720128100375,108,38040,0.5538283516094725,,,
,,109,38389,,0.1876086023070107,0.43457654877355356,0.4325455769453892
0.4706983372731315,0.8053523503606844,109,38389,0.8275781443724152,,,
0.4700361814866873,0.8046240820242544,110,38738,0.8268908924330992,,,
0.4652791621215548,0.799615635912876,111,39087,0.8219672872072903,,,
0.3508872667248757,0.8022722391822616,112,39436,0.824638802681372,,,
0.47553404550411843,0.8099049565443677,113,39785,0.5550257863891939,,,
,,114,40134,,0.4402019626460894,0.5297416758568888,0.7733124081451102
0.47105837825948343,0.8055969500610001,114,40134,0.8279268632061575,,,
0.47318339686747907,0.8076123344180918,115,40483,0.8301088400543718,,,
0.4732747793678298,0.8078755375990552,116,40832,0.5534961864342466,,,
0.474617472856896,0.809109379022374,117,41181,0.8315819857674153,,,
0.46931124822838716,0.8035159616552313,118,41530,0.8261423590707164,,,
,,119,41879,,0.2173824364076594,0.3260471635584497,0.48333785557510756
0.4718788721241934,0.8060675241202542,119,41879,0.8287905757931803,,,
0.475919370005051,0.8105901592440453,120,42228,0.8329121701192499,,,
0.47525045268361615,0.8100526913530846,121,42577,0.8322325214870588,,,
0.4631225404071439,0.7979186749389997,122,42926,0.5464911882769199,,,
0.47514927452079486,0.8097380717367701,123,43275,0.8321256969884729,,,
,,124,43624,,0.1799393351130051,0.27783209855194557,0.4292572323638607
0.4724982899414867,0.8069544794907882,124,43624,0.8294026790981528,,,
0.46916125853566254,0.8032483863284047,125,43973,0.5506719756680464,,,
0.46990166167692005,0.8044430096033308,126,44322,0.5511665875175903,,,
0.4765677253900715,0.811237367996172,127,44671,0.8335759867968271,,,
0.47267427196026873,0.8066718858429216,128,45020,0.8295829331863026,,,
,,129,45369,,0.21246114648838735,0.47977475531075575,0.4776000976562493
0.47479175541549007,0.8089946757756535,129,45369,0.5545157273551045,,,
0.47421421062545593,0.8085104387605769,130,45718,0.8311771112785026,,,
0.4730559780849633,0.8078262197937185,131,46067,0.5533359072749054,,,
0.4715333310734711,0.806182314809892,132,46416,0.5523029125081738,,,
0.35535410676739854,0.8083081177107583,133,46765,0.8307511664723926,,,
,,134,47114,,0.3555394267811643,0.4634792716284995,0.6716152984316976
0.47863146020983205,0.8129728038536442,134,47114,0.8356516663528852,,,
0.4729340039774213,0.807113756764584,135,47463,0.8298564313257479,,,
0.48011424725653135,0.8142737139945042,136,47812,0.8371519891684442,,,
0.476487489338662,0.810752409577028,137,48161,0.555657896889523,,,
0.46847846004524074,0.8031975164112866,138,48510,0.8253001680777119,,,
,,139,48859,,0.19820614404432182,0.3019979208750347,0.4573527421101478
0.48254403606222046,0.8171372509275944,139,48859,0.8396027349595633,,,
0.4789159741330904,0.8134813937211787,140,49208,0.5573040220113402,,,
0.48153021110149324,0.8155214151202094,141,49557,0.5590613451099058,,,
0.4796223163183974,0.8138856423276883,142,49906,0.8366652435074793,,,
0.47505914487559736,0.809436699722421,143,50255,0.5546968270272284,,,
,,144,50604,,0.23539427849500916,0.34721138961697534,0.5082229765334924
0.3547496421362822,0.8075984965764348,144,50604,0.5532952398679579,,,
0.4744059638611397,0.8090648924382162,145,50953,0.8313694687400521,,,
0.4811479585603295,0.8158792096769227,146,51302,0.5588333926922221,,,
0.4776726224095606,0.8122369279834123,147,51651,0.5564771909098286,,,
0.478690574907799,0.8130204165220942,148,52000,0.8357397868691434,,,
,,149,52349,,0.41092110962346745,0.5080466831557652,0.7383282349841418
0.4799483600675165,0.814131422507387,149,52349,0.5580063772189927,,,
0.4752188428629951,0.8095037684399623,150,52698,0.554808669682636,,,
0.47629713504902343,0.8107119453670643,151,53047,0.5555220136073252,,,
0.47774231112808296,0.8123305137656137,152,53396,0.5565252672850455,,,
0.475041995916398,0.8099464263478799,153,53745,0.8320108149884065,,,
,,154,54094,,0.36056717598331794,0.7011434413443463,0.6777766765934395
0.4780506535377557,0.8125936295036599,154,54094,0.8350912797299836,,,
0.470651441373033,0.8050595258914979,155,54443,0.8275453197560989,,,
0.4769659055272955,0.8114293051995656,156,54792,0.8339655633471237,,,
0.4756076236364826,0.8100871438624865,157,55141,0.8325931556679562,,,
0.4775021067833009,0.8120172713752462,158,55490,0.8345169500935044,,,
,,159,55839,,0.2812419515427598,0.3956295569514146,0.574335532613319
0.4727634596092373,0.8071311797658487,159,55839,0.5531457466963301,,,
0.4798207757948259,0.814329743043741,160,56188,0.5579126790977091,,,
0.4743715218747968,0.8089671093959862,161,56537,0.554221006512898,,,
0.4770540106819321,0.8112608026979986,162,56886,0.5560579445962347,,,
0.4744859587203713,0.8089875054564379,163,57235,0.8314575216517672,,,
,,164,57584,,0.1589395724384113,0.24803026628080807,0.3979493698271188
0.48317042106612146,0.8173817194635341,164,57584,0.560182135951537,,,
0.4789155702058317,0.8134848914378692,165,57933,0.5573038327001726,,,
0.4764254202443705,0.8104828667845629,166,58282,0.5556288507200581,,,
0.4789236139236836,0.8131619647444147,167,58631,0.5573288317564109,,,
0.4782099066186702,0.8129425923257296,168,58980,0.8352552391605415,,,
,,169,59329,,0.34835108147938304,0.4572369331407664,0.6630983258237922
0.47509207177473073,0.8098826148790068,169,59329,0.5547148110520586,,,
