train_OA,epoch,step,train_F1,train_mIoU,val_mIoU,val_F1,val_OA
0.8686008398717316,159,55839,0.7958778911564943,0.6764924178660731,,,
0.8678664942525518,160,56188,0.7965258914735994,0.6767980352655721,,,
0.8690804205514638,161,56537,0.797123637753321,0.678012328855902,,,
0.8701543288791076,162,56886,0.8034548555932041,0.6848774538564882,,,
0.8678271230790539,163,57235,0.79692180719073,0.6772792899151733,,,
,164,57584,,,0.5347975338321539,0.6392679047066617,0.8346270570660569
0.8689651489257811,164,57584,0.8015488049230104,0.6824530503120316,,,
0.8698175862047254,165,57933,0.8006385389179059,0.6817770684850037,,,
0.8712149240225979,166,58282,0.8029809163911286,0.6847289077789934,,,
0.8700266622199027,167,58631,0.8009665044194566,0.6821462841527662,,,
0.8711183433204802,168,58980,0.8054161114964496,0.6873091606190398,,,
,169,59329,,,0.5438606428764317,0.6553006316672053,0.8323208648379473
0.8722836732181231,169,59329,0.8076990505613296,0.6901479115474366,,,
0.8690067717543986,170,59678,0.7962512568918738,0.6770047437005492,,,
0.872831743562802,171,60027,0.8077531532691565,0.6904407144748609,,,
0.8718595532086653,172,60376,0.8038646557030152,0.685882079097607,,,
0.8706623503676798,173,60725,0.8026977166345747,0.6842817649203865,,,
,174,61074,,,0.5085930400914648,0.6146483467827866,0.8148238682510817
0.8720394232894765,174,61074,0.8095971627271167,0.6921296642155346,,,
0.8725687152676731,175,61423,0.8131432417604799,0.696140777547437,,,
0.8696284471746842,176,61772,0.7986317657035921,0.6796576297297946,,,
0.8718625699893109,177,62121,0.8029012650465933,0.6848864387147668,,,
0.8666186838232001,178,62470,0.7877311393697651,0.6673983026570429,,,
,179,62819,,,0.5280140541427576,0.6358916719865335,0.8246487154818984
0.8736125650925075,179,62819,0.8132321016904099,0.6965640003714674,,,
0.8729974260302873,180,63168,0.8132387718016326,0.6963188121855155,,,
0.8697582780460914,181,63517,0.7980525358406437,0.6790424306257176,,,
0.8737683227888833,182,63866,0.8086500805569687,0.691675363466938,,,
0.8709865012619761,183,64215,0.8024474086875499,0.6841881136661246,,,
,184,64564,,,0.5391518285220477,0.6555291841906735,0.8254382445080433
0.8696839734271467,184,64564,0.8009200967124492,0.6820184977772014,,,
0.8758282374515914,185,64913,0.8186123133745431,0.7033288299234975,,,
0.8716108655519675,186,65262,0.8077371259615482,0.6898554812938774,,,
0.8725973528230769,187,65611,0.8066706481679261,0.6891103401375105,,,
0.8707052192578684,188,65960,0.8057194559547357,0.6874761265242967,,,
,189,66309,,,0.5422309470407572,0.649579289655778,0.8338092766185785
0.8736883125195871,189,66309,0.8066275138306631,0.689511159957502,,,
0.8742658729881132,190,66658,0.8146675219862741,0.698400115596196,,,
0.871023249147956,191,67007,0.8036297600628778,0.6853263682711517,,,
0.8687572533899869,192,67356,0.7943384496296745,0.6749386406458825,,,
0.8699438756379834,193,67705,0.7996363982318117,0.6808700841326515,,,
,194,68054,,,0.5343582957948843,0.6459985013151939,0.8279548871635197
0.8716461706298128,194,68054,0.8032583931081385,0.685173622911888,,,
0.8733832241812544,195,68403,0.8144799903673466,0.6978554595011716,,,
0.8743040418214988,196,68752,0.8157332222284959,0.6995521963682667,,,
0.8747186961351628,197,69101,0.8142519131253837,0.6980800156124894,,,
0.8713301519268221,198,69450,0.802444676708916,0.6841713467803646,,,
,199,69799,,,0.5316982438554847,0.6480262265891555,0.8202495008411961
0.8695703413561625,199,69799,0.7935670662790221,0.6744031548150448,,,
