train_mIoU,epoch,train_OA,train_F1,step,val_mIoU,val_OA,val_F1
0.22224487966672704,78,0.49216155131430195,0.49775120409866835,27570,,,
,79,,,27919,0.22625685821719924,0.49915200412863475,0.5041628154017974
0.22885369787461676,79,0.5016397077237978,0.5097335435770705,27919,,,
0.24044340623038138,80,0.5195807208304418,0.5287908105424501,28268,,,
0.2204357594501214,81,0.49025018030729534,0.4943714322300402,28617,,,
0.1980761186257386,82,0.47465641928948776,0.4441034986152233,28966,,,
0.20303137621359965,83,0.4837162050613359,0.45292764022357346,29315,,,
0.23392673891558222,84,0.5084308088679709,0.5186532746424388,29664,,,
0.2258286236996001,85,0.4942368340697192,0.5052275996031355,30013,,,
0.2324742223032921,86,0.5070131624325639,0.5156181843616588,30362,,,
0.2250245640033833,87,0.49141749953130587,0.5046565568077183,30711,,,
