train_mIoU,epoch,train_F1,step,train_OA,val_F1,val_mIoU,val_OA
0.3768965396730876,184,0.48151031291029023,64564,0.7040363738051799,,,
0.3767998725979789,185,0.7221347402548246,64913,0.7042411869781405,,,
0.38179833622107623,186,0.7282269293982648,65262,0.7103938455226427,,,
0.3782826608739267,187,0.7239168318494043,65611,0.7062178997050724,,,
0.3745148097798526,188,0.7193618502179111,65960,0.7012931801869738,,,
,189,,66309,,0.8030010000667227,0.4499523383193494,0.7857838243541139
0.37991497800739743,189,0.725964649770129,66309,0.7076064932312185,,,
0.3753712647316582,190,0.7203038531958783,66658,0.7032786809270907,,,
0.37787513178840726,191,0.7234468166220679,67007,0.7054416907892527,,,
0.3827704199924454,192,0.729404620953042,67356,0.7112176671069125,,,
0.38057589008409426,193,0.7267155523883766,67705,0.7089367186100912,,,
0.38218902556827655,194,0.7286991421681366,68054,0.7107980066862352,,,
0.3832924968710621,195,0.7299861846615756,68403,0.7123499217211003,,,
0.38063932944404627,196,0.7267578853798005,68752,0.7091967082638453,,,
0.3809173645682084,197,0.7271728775089458,69101,0.7089912829904637,,,
0.3769131326456557,198,0.7222442323746632,69450,0.7043321713335533,,,
,199,,69799,,0.766965735131174,0.4187558297812963,0.7638250671991016
0.3825318784810376,199,0.48610410435131285,69799,0.710847477516677,,,
0.3801079611800274,200,0.7261652056228003,70148,0.7081299921161465,,,
0.3808386719315053,201,0.4847300813102291,70497,0.7087409120576087,,,
0.38031427386068684,202,0.48423916002485184,70846,0.7085254527094711,,,
0.3811110887015337,203,0.7273959442989045,71195,0.7093966246334392,,,
0.37963757579376206,204,0.48371877759317466,71544,0.7076009843274309,,,
0.3825042682848494,205,0.7290670389084835,71893,0.7110984605499528,,,
0.3805378676309365,206,0.7267111941542974,72242,0.7085167958606621,,,
0.3793237603527461,207,0.7252091361732956,72591,0.7070084055378648,,,
0.37917744851784524,208,0.7250243623747444,72940,0.7073094277805447,,,
,209,,73289,,0.8000794794141182,0.4482461515583562,0.7883800846515303
0.38327589214410773,209,0.7300191674956245,73289,0.7118278000621193,,,
0.3824435752991376,210,0.7290070016498021,73638,0.7110005900648055,,,
0.38543579673248374,211,0.7325954602152438,73987,0.7147892730625447,,,
0.3846406634662494,212,0.7316887765793358,74336,0.7132568577982292,,,
0.37824524279455796,213,0.4825913215403701,74685,0.7060212187234173,,,
0.38456101756538913,214,0.48772836002449943,75034,0.713295245238908,,,
0.38286620548530276,215,0.7295253842498763,75383,0.7114279454622021,,,
0.3793829634017098,216,0.7253069620043026,75732,0.7068401653650496,,,
0.3785318537993714,217,0.7242227290249978,76081,0.7064413382194102,,,
0.3800676635148828,218,0.7260789648705374,76430,0.7085213428923598,,,
,219,,76779,,0.5135075859269861,0.423391867420257,0.7722373433632413
0.3822638692621419,219,0.7287770080980647,76779,0.7107745501236792,,,
0.3790409995573085,220,0.4832336483852007,77128,0.7071496695707041,,,
0.3841289986157415,221,0.7310419694683397,77477,0.7131077894850241,,,
0.38245555879287246,222,0.48604368579486906,77826,0.7104140229758013,,,
0.38274742463761985,223,0.7293390367981025,78175,0.711403024230782,,,
0.3846813463461792,224,0.7317053906935578,78524,0.7133018909006199,,,
0.38116712853086393,225,0.7274510827670952,78873,0.7095695648630573,,,
0.3831450915431853,226,0.4865826199365255,79222,0.7115333141775048,,,
0.3827896808357587,227,0.48628939978226954,79571,0.7113265116781764,,,
0.3829495612711659,228,0.7296255996367327,79920,0.7112251434763386,,,
,229,,80269,,0.5357636610510786,0.44778868226774743,0.781081700088953
0.38353886077034666,229,0.48691355223274035,80269,0.7120355425728083,,,
0.381740240053166,230,0.4854417091743839,80618,0.7099319938943857,,,
0.3839766410634824,231,0.7308714325559158,80967,0.7128132598789509,,,
0.37980750738916935,232,0.725771416358234,81316,0.7080437515389952,,,
0.38319101291046503,233,0.4866200113559383,81665,0.711586260863908,,,
0.38106977107934453,234,0.4849070861477158,82014,0.7090637950296046,,,
0.38267369399325846,235,0.7292627806807966,82363,0.7115793310127148,,,
0.3813006492974114,236,0.4850723130775087,82712,0.709655630554374,,,
0.38186761523773677,237,0.7283035119133621,83061,0.7103223172163211,,,
0.38554584725639957,238,0.4884809439332259,83410,0.7151121997559992,,,
,239,,83759,,0.5414934170057204,0.45764246792736474,0.7968423673422017
0.38419065305983535,239,0.4873823818960275,83759,0.7133334140722934,,,
0.3834619566388429,240,0.48683159277092897,84108,0.7122536689299225,,,
0.38174642251850105,241,0.7281388362342747,84457,0.7103414453544725,,,
0.3823295897017475,242,0.7288884425873748,84806,0.7107305007541076,,,
0.37949667737872056,243,0.4836233923981055,85155,0.7072763306363604,,,
0.3845061434207479,244,0.4876793624030778,85504,0.7136694790640669,,,
0.38208090936782196,245,0.4856841056459816,85853,0.7110347583847263,,,
0.38386242374302776,246,0.7307246882357135,86202,0.7126052987609687,,,
0.3796969713043528,247,0.7256324424911933,86551,0.7078601432734709,,,
0.38290416784498693,248,0.4863778228438144,86900,0.7113798518577071,,,
,249,,87249,,0.5487457115016886,0.4571263455665477,0.7879748958172172
0.385960604398784,249,0.48883898758553307,87249,0.7148440560502103,,,
0.38441962214664277,250,0.7314166047845361,87598,0.7133385513436827,,,
0.3848099047029477,251,0.7318741967369227,87947,0.7137083911622492,,,
0.38449300270807657,252,0.4876568926118634,88296,0.7135061794160771,,,
0.38598773702149103,253,0.488869321660322,88645,0.7147924428682955,,,
0.38415304440281056,254,0.48739487415355875,88994,0.712819839958475,,,
0.38130318383619155,255,0.7276539981729023,89343,0.7092385059782973,,,
0.3827230732737938,256,0.7293530634825517,89692,0.7113728127028675,,,
0.38478419135510644,257,0.4878941581486158,90041,0.7135656405998163,,,
0.38658196487112567,258,0.4893738845592377,90390,0.715790079111356,,,
,259,,90739,,0.5393106672180454,0.4550895751884679,0.793275436552443
0.38725670996074674,259,0.48988852861868465,90739,0.7163739791913838,,,
0.3848565881852776,260,0.4879817158800627,91088,0.7138951473727949,,,
0.37824507049822015,261,0.48259536236952383,91437,0.706146174652187,,,
0.3845917758988438,262,0.487759335549371,91786,0.7132987648163278,,,
0.38430896675451337,263,0.4875228308837672,92135,0.7132886214379252,,,
0.37983658528293507,264,0.48390013418401406,92484,0.7079785628441752,,,
0.3848521397117059,265,0.48796286754709656,92833,0.7135942781552201,,,
0.38144226920405916,266,0.4851681393133361,93182,0.7096751959071117,,,
0.3856216746293954,267,0.4885673432691233,93531,0.7145556911698042,,,
0.3867769609101248,268,0.48958699901359587,93880,0.7157524786569326,,,
,269,,94229,,0.5394626210667499,0.45190843515074003,0.78615638053063
0.3826442979944744,269,0.48618973101863777,94229,0.711067462035783,,,
0.38290752158898944,270,0.48639969943794936,94578,0.7111461169398615,,,
0.38472048673582465,271,0.4878922519248445,94927,0.7131057345764684,,,
0.38462849052043807,272,0.48777535494808894,95276,0.7133281019150697,,,
0.38063652466042996,273,0.7268294728184468,95625,0.7085127734864679,,,
0.383343859994323,274,0.48673770192404114,95974,0.7120982391444863,,,
0.3835967416697286,275,0.48695046489947097,96323,0.7121963282369268,,,
0.3810663417133459,276,0.484883420790913,96672,0.709306995643244,,,
0.38482266975724605,277,0.4880418208759341,97021,0.7131701581457623,,,
0.3838362886221825,278,0.7307180483045101,97370,0.7126257604036084,,,
,279,,97719,,0.5473116799468586,0.44956338803163004,0.7760420695389839
0.3854166158651357,279,0.4884171026792408,97719,0.7143138240606531,,,
0.3814326438286833,280,0.4851833877183216,98068,0.7097587476145572,,,
0.3848755649304003,281,0.7319351158423542,98417,0.7138622688359038,,,
0.38664674313106057,282,0.48940739319805654,98766,0.7158056002291703,,,
0.38526359535211724,283,0.4883122373642628,99115,0.7141146728165852,,,
0.38530428449991927,284,0.48836939226511794,99464,0.7143725857010542,,,
0.38372598916313844,285,0.4870305073783796,99813,0.7127090935037607,,,
0.38585920968395016,286,0.48883844636355156,100162,0.714872343833945,,,
0.38755336440748,287,0.4901417558588783,100511,0.7169416804709884,,,
0.3860525375770681,288,0.48891054690157726,100860,0.715049699930885,,,
,289,,101209,,0.593095764571647,0.4761728482501752,0.7748310353496275
0.3867843592492319,289,0.4895203560813233,101209,0.7162444980916457,,,
0.38353567843391695,290,0.4869405079654147,101558,0.7119516848151526,,,
0.38818586554058415,291,0.4906243899752802,101907,0.7172979447766497,,,
0.3872848044542092,292,0.4899654266417086,102256,0.7165933953315274,,,
0.3836893836672716,293,0.48699528468910475,102605,0.7129739362394227,,,
0.38526192328068526,294,0.4882685266560702,102954,0.7144759650899891,,,
0.38300880299657064,295,0.48648866418549047,103303,0.7115753960814379,,,
0.386503392834737,296,0.48936949120543427,103652,0.7154400013920911,,,
0.3853589946166336,297,0.4883615139112998,104001,0.7142448097382028,,,
0.381563642711237,298,0.4852881912490354,104350,0.710173248903116,,,
,299,,104699,,0.5497232632365726,0.4515912959951412,0.783277908174117
0.3831028827554939,299,0.7298038739702223,104699,0.7114524076183066,,,
0.3847401464769749,300,0.7318110936860884,105048,0.7134322464295307,,,
