train_mIoU,train_F1,step,train_OA,epoch,val_F1,val_OA,val_mIoU
0.8187801450323476,0.8971637470327166,58282,0.9339460575136549,166,,,
0.8169263707615787,0.8958537149744927,58631,0.9337981915405622,167,,,
0.8186691795749743,0.8970553508148077,58980,0.9340974430641675,168,,,
,,59329,,169,0.8135800641374252,0.8827697451751998,0.6986430015985743
0.8176967243796698,0.8963791315460239,59329,0.9339432812010318,169,,,
0.8193336325224054,0.8975128180504987,59678,0.9342109439707758,170,,,
0.8182647006364648,0.8967630485121189,60027,0.9340778339899712,171,,,
0.8191203733884458,0.8973392412839578,60376,0.9342928342627931,172,,,
0.8181897604645773,0.8966959433395504,60725,0.934132901167118,173,,,
,,61074,,174,0.8059544063911277,0.877061296217511,0.6885694627217576
0.8186880753816329,0.8970288636503133,61074,0.9342758921975732,174,,,
0.8190153026354364,0.8972581038280959,61423,0.9343141703346054,175,,,
0.8196935597850898,0.8977324122742761,61772,0.9343951643367209,176,,,
0.819456017990019,0.8975387170136838,62121,0.9345390953785367,177,,,
0.8195924003390895,0.8976477871132172,62470,0.9344516743220025,178,,,
,,62819,,179,0.8053419633143989,0.8762832490524429,0.6876606297057265
0.820203750510955,0.8980366773395229,62819,0.9347232501622939,179,,,
0.8197582948386325,0.8977253524632361,63168,0.9347086034736523,180,,,
0.818449462423457,0.8968268312879365,63517,0.934417943216668,181,,,
0.8186817809021086,0.8969965274785353,63866,0.9344085431030622,182,,,
0.8197004300812667,0.8976823438112617,64215,0.9346707625512064,183,,,
,,64564,,184,0.8044368602172787,0.8796613334429132,0.6876449764757231
0.8198502818339578,0.8977791112069621,64564,0.9347496360625782,184,,,
0.8199062847816035,0.8978222826385571,64913,0.9347262450822101,185,,,
0.8199128811970909,0.897824081831813,65262,0.9347581836077408,186,,,
0.8202331224164178,0.8980521135804217,65611,0.9347453732203616,187,,,
0.8203002476618568,0.8980847940739176,65960,0.9348442930205161,188,,,
,,66309,,189,0.8075048073305603,0.8774140612913817,0.6903127212058662
0.8191318937615772,0.8972950003805192,66309,0.9345468122159852,189,,,
0.8204362162093077,0.8981772135076147,66658,0.9348651262955541,190,,,
0.8201333698088256,0.897983151603536,67007,0.934730114431299,191,,,
0.8208657254590895,0.8984650382949019,67356,0.9349673689265646,192,,,
0.8203397377907217,0.8981164429138554,67705,0.934808791196107,193,,,
,,68054,,194,0.8017654029374626,0.8785982037534794,0.684513602451862
0.8202754131246163,0.8980694112032096,68054,0.9348261923366424,194,,,
0.8198902023206561,0.897801755897801,68403,0.9347579212789889,195,,,
0.8195371612307838,0.8975574017579456,68752,0.934701739204647,196,,,
0.8204299859606355,0.8981654418211463,69101,0.9349116459275384,197,,,
0.8210071455738134,0.8985513198732425,69450,0.9350519699490172,198,,,
,,69799,,199,0.8008717679564934,0.8767050563698935,0.6828790218828514
0.8204418496277452,0.8981680814800587,69799,0.9349267298307663,199,,,
