train_OA,train_F1,train_mIoU,epoch,step,val_F1,val_mIoU,val_OA
0.67014907355978,0.6873287226264014,0.34916266413104885,92,32456,,,
0.6579637500139908,0.6739505910079009,0.338957027105405,93,32805,,,
0.6598970254717719,0.6763787839160398,0.34074816974271843,94,33154,,,
0.6638367005268959,0.6801443985278793,0.3436587220912702,95,33503,,,
0.6661376953124999,0.6823441919411513,0.34541090957687465,96,33852,,,
0.6750182231039576,0.6923936342128816,0.353077042321383,97,34201,,,
0.670316810935821,0.686764163033343,0.34878639800578953,98,34550,,,
,,,99,34899,0.5714079080696337,0.26674183984715644,0.5536151546062801
0.667528365607931,0.68484742055856,0.34722499664879175,99,34899,,,
0.665430260251108,0.6827497293734865,0.34559965832154527,100,35248,,,
0.6687338099438686,0.6856147763667251,0.34784914657637106,101,35597,,,
0.6668713413883416,0.6828684437859323,0.34581093696616144,102,35946,,,
0.6734407965979807,0.6907496513274866,0.35179541195820924,103,36295,,,
0.6645504096176015,0.6810352508267559,0.34433482836655765,104,36644,,,
0.6668482127367253,0.6837585794741643,0.3464070482377343,105,36993,,,
0.6681632230479941,0.6850535286555608,0.347384599449446,106,37342,,,
0.6826430268820513,0.6996615566665654,0.3588254265532737,107,37691,,,
0.6741338910209415,0.6906745701472541,0.3518069652889014,108,38040,,,
,,,109,38389,0.2677710332218973,0.11349308653042067,0.31789148916112264
0.6814189353440073,0.6987587430092546,0.35804622651135887,109,38389,,,
0.6760681283508124,0.6933671501946306,0.3538424605353032,110,38738,,,
0.6738266603311357,0.6903495039760286,0.35156276631793143,111,39087,,,
0.6805684873914307,0.6979098707081478,0.35737467487790636,112,39436,,,
0.6851385821585668,0.7030058740284013,0.36138426407901675,113,39785,,,
0.6805849266598764,0.6980200509834915,0.3574834908869781,114,40134,,,
0.6842087797585735,0.7018610078259577,0.3605003704115816,115,40483,,,
0.6707627698138654,0.687478001323687,0.3492893632608192,116,40832,,,
0.680806966087538,0.6975814825096609,0.3571583319277954,117,41181,,,
0.68797645459544,0.7056320951529789,0.3634797681960839,118,41530,,,
,,,119,41879,0.7267368372752738,0.3820050320247068,0.7063242090810633
0.6802421941456616,0.6975941397669159,0.35713418776822353,119,41879,,,
0.6756403357388295,0.6926707634559588,0.3533001553443957,120,42228,,,
0.6793065112094824,0.6962660254025144,0.35614153200828835,121,42577,,,
0.6869396439254454,0.7043679351134173,0.362487467672143,122,42926,,,
0.681634678881626,0.6986039889867246,0.3579705928132906,123,43275,,,
0.6737064263198983,0.6910135448064686,0.351987507995106,124,43624,,,
0.6877793582599278,0.705461357679554,0.3633537901132206,125,43973,,,
0.6809107826910592,0.6984244695203397,0.35779888872013194,126,44322,,,
0.6784887669079623,0.6958515008960943,0.35582466753615744,127,44671,,,
0.6806880655807888,0.6980791714193006,0.35753337634009735,128,45020,,,
,,,129,45369,0.8096305403489908,0.45644041893017856,0.7946534109587704
0.6884757973744738,0.7060680002315629,0.3638474351983758,129,45369,,,
0.6864620088506223,0.704483716418361,0.362558222709321,130,45718,,,
0.6854285428722129,0.7034871698903536,0.3617576392009943,131,46067,,,
0.6857938137983524,0.7029920647967403,0.3614427640008258,132,46416,,,
0.6873540140496283,0.7050093131244379,0.36297580635923815,133,46765,,,
0.6847816620310261,0.7023363650677605,0.36087877286650016,134,47114,,,
0.6878875251485829,0.706143521587439,0.36385912666170767,135,47463,,,
0.6909284619000715,0.7085380023140871,0.3658051684687109,136,47812,,,
0.6787788369252551,0.6957321382425987,0.35570474821862524,137,48161,,,
0.6849353210973875,0.7020426407869738,0.36066031721536085,138,48510,,,
,,,139,48859,0.45851886055113655,0.19962803746482294,0.45079252035310885
0.6893949754600196,0.7066614974032813,0.3643305505495326,139,48859,,,
0.6883884637608568,0.7059323249561145,0.36374365903623973,140,49208,,,
0.6930329724505842,0.7104613731827127,0.36737823777003237,141,49557,,,
0.696031783576681,0.7140688058241005,0.37023208869291596,142,49906,,,
0.6917253729265535,0.7094160152590492,0.3665153195777755,143,50255,,,
0.6883425999507521,0.7059264306532038,0.3637332136841183,144,50604,,,
0.6845788163237038,0.7023560708397244,0.3608707928830878,145,50953,,,
0.694448673281082,0.7121840229903315,0.36874332960809997,146,51302,,,
