train_mIoU,epoch,train_F1,train_OA,step,val_OA,val_F1,val_mIoU
0.5201271270193719,144,0.8762791048553598,0.8522502822657367,50604,,,
0.5201985288978732,145,0.8763560272423139,0.8525116491454378,50953,,,
0.521705992173496,146,0.5851931054428877,0.8542750885971636,51302,,,
0.5197120735362887,147,0.8758853726677154,0.8519278802297858,51651,,,
0.5212050182208069,148,0.8772997643691123,0.8535981711138967,52000,,,
,149,,,52349,0.8594148843595284,0.8758186923454405,0.522413680626538
0.5215934818641984,149,0.8776578842613869,0.853624141660324,52349,,,
0.5225129649963582,150,0.585677507269799,0.8542249838055715,52698,,,
0.5217368461371193,151,0.5852100915604086,0.8536567578684633,53047,,,
0.5221919870885098,152,0.5854846869100645,0.8545758266503625,53396,,,
0.5231756191708397,153,0.5861036692858752,0.8554509116448781,53745,,,
,154,,,54094,0.8583339275700018,0.874548329204108,0.5212971257460598
0.5193493866018473,154,0.5837024463874859,0.8520253790825347,54094,,,
0.5213389277264292,155,0.5849574690789231,0.8537445942788546,54443,,,
0.5221924283302514,156,0.5854826488144393,0.8541134503646018,54792,,,
0.5219342418936549,157,0.5853214841389983,0.8540667995682417,55141,,,
0.5208317016401831,158,0.5846611233318534,0.8537748713889571,55490,,,
,159,,,55839,0.8584635517384733,0.8756317561932282,0.5219585028049677
0.5228017211823639,159,0.878818379188538,0.8547317810933022,55839,,,
0.5208273960998037,160,0.5846386092383538,0.8531308543033107,56188,,,
0.5231734563302513,161,0.5861070248593506,0.8547194953634266,56537,,,
0.5215764440872422,162,0.585112137022308,0.8538626422171605,56886,,,
0.5214273886209972,163,0.8775288214476946,0.8532021858630684,57235,,,
,164,,,57584,0.8574665938273501,0.8754493229766132,0.5210855061233426
0.5216556896370349,164,0.8777557114560919,0.8537188204789912,57584,,,
0.5217627009039529,165,0.5852363269633691,0.8540748005951714,57933,,,
0.5221299465066772,166,0.5854832368997415,0.8547011760722599,58282,,,
0.5220073484535335,167,0.8780822505687587,0.8545754550179642,58631,,,
0.5224542275908096,168,0.8785053336044923,0.854624095140692,58980,,,
,169,,,59329,0.8577172307684857,0.8747695105359572,0.5212348462744539
0.5213668313021543,169,0.5849901798136937,0.8537556558078885,59329,,,
