step,train_F1,epoch,train_OA,train_mIoU,val_OA,val_F1,val_mIoU
23382,0.3284661211168625,66,0.46720245711099784,0.15864434257769708,,,
23731,0.3302877094836252,67,0.4671671957546113,0.1591720061774132,,,
24080,0.3315639436086186,68,0.46687990204994173,0.15948976492706557,,,
24429,,69,,,0.6007643595780467,0.3893880205895242,0.2047350259020612
24429,0.33138340036182684,69,0.466574398357752,0.15937601256181155,,,
24778,0.3315650383987838,70,0.46695855695402033,0.15950584959232209,,,
25127,0.33180471914048126,71,0.467415052703595,0.15966739388464815,,,
25476,0.3299350763559489,72,0.46720735391436463,0.15907504728492683,,,
25825,0.3287274674595484,73,0.4675378006987038,0.15878780710618692,,,
26174,,74,,,0.6020063645768865,0.3867980327382837,0.2041612757068657
26174,0.3287354445829686,74,0.46751924093951464,0.15878600437021914,,,
26523,0.3246254407341764,75,0.4671746939847667,0.15751770512515714,,,
26872,0.3187048984530046,76,0.46714321453455177,0.15580124239203333,,,
27221,0.31878104535447366,77,0.46728946281367517,0.1558523526882115,,,
27570,0.3187608329150356,78,0.4672644760000671,0.1558415361515039,,,
27919,,79,,,0.605119006468517,0.37733787871102015,0.2018135088941839
27919,0.31871364569607885,79,0.46719983382347996,0.1558150611419825,,,
28268,0.3185376675973436,80,0.4668341475434835,0.1556914177663462,,,
28617,0.3186989279263657,81,0.46720617343498155,0.1558120979944064,,,
28966,0.3186219042420342,82,0.46704007561363936,0.1557567480484342,,,
29315,0.3187331107354674,83,0.46733373079053986,0.15584738534735787,,,
29664,,84,,,0.6051342652575795,0.37729018130000236,0.20180200797709422
29664,0.31854453255091625,84,0.4669210002210556,0.15571072837215766,,,
30013,0.3186467952957546,85,0.46713466698938927,0.15578281561920634,,,
30362,0.3185823581352098,86,0.4669943429679105,0.15573623536617168,,,
30711,0.31859848633250615,87,0.4670387421091511,0.15574971415016178,,,
31060,0.31836164978696707,88,0.4665201837490485,0.15557807637344326,,,
31409,,89,,,0.6051306394067132,0.37730281841016283,0.20180513169399708
31409,0.31867383254025183,89,0.4672038561976741,0.15580441723068467,,,
31758,0.31864957320156845,90,0.46712161613398767,0.15578100448153856,,,
32107,0.31877572630514495,91,0.4673662814164912,0.15586615206599233,,,
32456,0.3187276964846371,92,0.46724851766766645,0.15582878729747104,,,
32805,0.3185928751591937,93,0.4669980155704355,0.15574000244611957,,,
33154,,94,,,0.6051279200185634,0.37729452424854754,0.20180187492842253
33154,0.3182200975574762,94,0.4662077939271243,0.1554749810316666,,,
33503,0.31815939363190415,95,0.4661016382255663,0.15543636105843692,,,
33852,0.31875206368286024,96,0.467392492430941,0.1558645737015042,,,
34201,0.3181353124929856,97,0.4660899645961116,0.1554270901046596,,,
34550,0.3186325092193346,98,0.46716859484128753,0.1557854503875381,,,
34899,,99,,,0.6051511858949558,0.3772308183021404,0.20178702498589965
34899,0.3181792771831491,99,0.4662260694968324,0.15546687721996325,,,
35248,0.3183256220742251,100,0.4665833831175008,0.15558030086088667,,,
35597,0.3185921209591883,101,0.4671372028339899,0.15576755806762888,,,
35946,0.3182249737755468,102,0.4663397671500044,0.15550271886998981,,,
36295,0.31812590631378823,103,0.4661283083153317,0.15543201093489575,,,
36644,,104,,,0.60514740896697,0.3772399424701993,0.20178906165434465
36644,0.3181299441717631,104,0.4661356316596525,0.1554346422209118,,,
36993,0.31821173806801667,105,0.4663153487153585,0.15549405575849873,,,
37342,0.31812593816891876,106,0.46614807041463324,0.15543599574950404,,,
37691,0.3185961717745548,107,0.46716450688490546,0.15577416471932756,,,
38040,0.318668899475647,108,0.467327238153933,0.15582758147058706,,,
38389,,109,,,0.6051548117458221,0.37722174073902626,0.20178502905616194
38389,0.31847847114381855,109,0.4669142233949677,0.155690312660877,,,
38738,0.31855478457003317,110,0.4670917325170128,0.1557477139136911,,,
39087,0.3183905198883311,111,0.46673280120237504,0.15562877771626224,,,
39436,0.3183479013814361,112,0.46665067044233516,0.15560014297127803,,,
39785,0.31817867263832134,113,0.4662989531683716,0.15548124157485288,,,
40134,,114,,,0.6051594951365245,0.3772231248473702,0.2017864578125448
40134,0.3183779492335596,114,0.46670855765356367,0.1556203455526413,,,
40483,0.31863786768789365,115,0.4672688481459303,0.1558069824604674,,,
40832,0.31817948199608753,116,0.4662578331365284,0.15547328457038914,,,
41181,0.31842787144162543,117,0.4667928307650765,0.15565153002986767,,,
41530,0.3185042851194953,118,0.46697879998936687,0.1557106325514163,,,
41879,,119,,,0.6051575311339719,0.37721577070570605,0.20178376868846837
41879,0.31823968793500623,119,0.4664240621222465,0.15552378851109724,,,
42228,0.31842258144336905,120,0.46681080028457417,0.15565358128314885,,,
42577,0.3183084092907977,121,0.46654329053993543,0.15556734875830344,,,
42926,0.318199591242624,122,0.46630723838478233,0.15548892042394719,,,
43275,0.3185323597233187,123,0.4670394635132185,0.15573084878391705,,,
43624,,124,,,0.6051549628229416,0.37723148389112793,0.20178807872914262
43624,0.3184488393209473,124,0.4668563361837392,0.1556702270050677,,,
43973,0.3181159730811528,125,0.46613198091785674,0.15542995458365413,,,
44322,0.3186007503906438,126,0.46719331932614383,0.155781225025688,,,
44671,0.3182454624630838,127,0.46643031429083087,0.155526756608999,,,
45020,0.3186054446392358,128,0.4672074194965526,0.15578540587978404,,,
45369,,129,,,0.6051542074373444,0.37722015939154785,0.20178439632932246
45369,0.3183971940915086,129,0.466759515013599,0.15563604476735088,,,
45718,0.3184053695362927,130,0.46677532032089447,0.15564154948903217,,,
46067,0.31869055323237255,131,0.46736763678170884,0.15584189029458623,,,
46416,0.3185300466072955,132,0.4669950206505193,0.1557212906733613,,,
46765,0.31866377329315326,133,0.4672772863874462,0.15581611775970752,,,
47114,,134,,,0.6051412148050733,0.37725583590246603,0.2017928054391022
47114,0.3186968482059072,134,0.4673465193171897,0.1558394926252795,,,
47463,0.31816585779910955,135,0.46618127686246413,0.15545410610176658,,,
47812,0.31858542863477246,136,0.4670925195032682,0.15575671891259887,,,
